"Site","Year","Month","Amount"
"WIDE RUINS WX",2016,8,76.962
"WIDE RUINS WX",2016,9,8.89
"WIDE RUINS WX",2016,10,36.068
"WIDE RUINS WX",2016,11,32.512
"WIDE RUINS WX",2016,12,55.118
"WIDE RUINS WX",2016,1,15.24
"WIDE RUINS WX",2016,2,0
"WIDE RUINS WX",2016,3,1.27
"WIND ROCK VALLEY",2016,4,73.66
"WIND ROCK VALLEY",2016,5,15.24
"WIND ROCK VALLEY",2016,6,7.62
"WIND ROCK VALLEY",2016,7,NA
"WIND ROCK VALLEY",2016,8,NA
"WIND ROCK VALLEY",2016,9,22.86
"WIND ROCK VALLEY",2016,10,30.48
"WIND ROCK VALLEY",2016,11,8.89
"WIND ROCK VALLEY",2016,12,40.64
"WIND ROCK VALLEY",2016,1,5.334
"WIND ROCK VALLEY",2016,2,34.036
"WIND ROCK VALLEY",2016,3,0.508
"WOODSPRINGS WX",2016,4,45.72
"WOODSPRINGS WX",2016,5,25.4
"WOODSPRINGS WX",2016,6,0
"WOODSPRINGS WX",2016,7,30.48
"WOODSPRINGS WX",2016,8,74.93
"WOODSPRINGS WX",2016,9,36.068
"WOODSPRINGS WX",2016,10,18.542
"WOODSPRINGS WX",2016,11,21.082
"WOODSPRINGS WX",2016,12,53.34
"WOODSPRINGS WX",2016,1,20.828
"WOODSPRINGS WX",2016,2,12.7
"WOODSPRINGS WX",2016,3,2.54
"BEAUTIFUL MOUNTAIN",2015,4,7.62
"BEAUTIFUL MOUNTAIN",2015,5,34.29
"BEAUTIFUL MOUNTAIN",2015,6,48.768
"BEAUTIFUL MOUNTAIN",2015,7,70.358
"BEAUTIFUL MOUNTAIN",2015,8,76.2
"BEAUTIFUL MOUNTAIN",2015,9,35.56
"BEAUTIFUL MOUNTAIN",2015,10,35.56
"BEAUTIFUL MOUNTAIN",2015,11,20.32
"BEAUTIFUL MOUNTAIN",2015,12,21.59
"BEAUTIFUL MOUNTAIN",2015,1,12.7
"BEAUTIFUL MOUNTAIN",2015,2,75.438
"BEAUTIFUL MOUNTAIN",2015,3,0.762
"BEAVER SPRINGS SC",2015,4,33.02
"BEAVER SPRINGS SC",2015,5,102.87
"BEAVER SPRINGS SC",2015,6,97.79
"BEAVER SPRINGS SC",2015,7,40.64
"BEAVER SPRINGS SC",2015,8,111.76
"BEAVER SPRINGS SC",2015,9,22.86
"BEAVER SPRINGS SC",2015,10,58.42
"BEAVER SPRINGS SC",2015,11,119.38
"BEAVER SPRINGS SC",2015,12,20.32
"BEAVER SPRINGS SC",2015,1,48.26
"BEAVER SPRINGS SC",2015,2,78.74
"BEAVER SPRINGS SC",2015,3,38.1
"BIRD SPRINGS",2015,4,4.826
"BIRD SPRINGS",2015,5,17.78
"BIRD SPRINGS",2015,6,52.832
"BIRD SPRINGS",2015,7,26.67
"BIRD SPRINGS",2015,8,32.258
"BIRD SPRINGS",2015,9,11.43
"BIRD SPRINGS",2015,10,41.148
"BIRD SPRINGS",2015,11,9.144
"BIRD SPRINGS",2015,12,10.668
"BIRD SPRINGS",2015,1,36.068
"BIRD SPRINGS",2015,2,16.51
"BIRD SPRINGS",2015,3,1.016
"BITTER SPRINGS",2015,4,3.048
"BITTER SPRINGS",2015,5,25.654
"BITTER SPRINGS",2015,6,43.434
"BITTER SPRINGS",2015,7,37.338
"BITTER SPRINGS",2015,8,30.734
"BITTER SPRINGS",2015,9,15.24
"BITTER SPRINGS",2015,10,64.008
"BITTER SPRINGS",2015,11,2.032
"BITTER SPRINGS",2015,12,17.78
"BITTER SPRINGS",2015,1,22.86
"BITTER SPRINGS",2015,2,38.608
"BITTER SPRINGS",2015,3,0.762
"BLACK CREEK SG",2015,4,21.082
"BLACK CREEK SG",2015,5,32.512
"BLACK CREEK SG",2015,6,56.388
"BLACK CREEK SG",2015,7,25.4
"BLACK CREEK SG",2015,8,27.94
"BLACK CREEK SG",2015,9,19.05
"BLACK CREEK SG",2015,10,20.32
"BLACK CREEK SG",2015,11,46.99
"BLACK CREEK SG",2015,12,51.054
"BLACK CREEK SG",2015,1,66.04
"BLACK CREEK SG",2015,2,26.67
"BLACK CREEK SG",2015,3,3.048
"BLACK HAT WX",2015,4,14.478
"BLACK HAT WX",2015,5,38.1
"BLACK HAT WX",2015,6,24.13
"BLACK HAT WX",2015,7,59.69
"BLACK HAT WX",2015,8,44.45
"BLACK HAT WX",2015,9,8.89
"BLACK HAT WX",2015,10,38.1
"BLACK HAT WX",2015,11,20.32
"BLACK HAT WX",2015,12,22.606
"BLACK HAT WX",2015,1,43.434
"BLACK HAT WX",2015,2,46.228
"BLACK HAT WX",2015,3,0.254
"BLUE CANYON DAM",2015,4,20.32
"BLUE CANYON DAM",2015,5,44.45
"BLUE CANYON DAM",2015,6,34.29
"BLUE CANYON DAM",2015,7,84.074
"BLUE CANYON DAM",2015,8,50.546
"BLUE CANYON DAM",2015,9,22.86
"BLUE CANYON DAM",2015,10,29.21
"BLUE CANYON DAM",2015,11,36.83
"BLUE CANYON DAM",2015,12,19.304
"BLUE CANYON DAM",2015,1,47.752
"BLUE CANYON DAM",2015,2,40.64
"BLUE CANYON DAM",2015,3,2.54
"BLUFF WX",2015,4,8.128
"BLUFF WX",2015,5,11.938
"BLUFF WX",2015,6,69.088
"BLUFF WX",2015,7,34.29
"BLUFF WX",2015,8,25.654
"BLUFF WX",2015,9,0
"BLUFF WX",2015,10,57.658
"BLUFF WX",2015,11,20.32
"BLUFF WX",2015,12,34.798
"BLUFF WX",2015,1,33.02
"BLUFF WX",2015,2,71.12
"BLUFF WX",2015,3,0
"BODAWAY / GAP",2015,4,3.81
"BODAWAY / GAP",2015,5,6.858
"BODAWAY / GAP",2015,6,54.102
"BODAWAY / GAP",2015,7,25.4
"BODAWAY / GAP",2015,8,38.1
"BODAWAY / GAP",2015,9,17.78
"BODAWAY / GAP",2015,10,33.528
"BODAWAY / GAP",2015,11,14.732
"BODAWAY / GAP",2015,12,19.558
"BODAWAY / GAP",2015,1,27.178
"BODAWAY / GAP",2015,2,30.48
"BODAWAY / GAP",2015,3,1.27
"BOWL CANYON SC",2015,4,26.162
"BOWL CANYON SC",2015,5,83.82
"BOWL CANYON SC",2015,6,63.754
"BOWL CANYON SC",2015,7,109.474
"BOWL CANYON SC",2015,8,80.772
"BOWL CANYON SC",2015,9,22.86
"BOWL CANYON SC",2015,10,44.45
"BOWL CANYON SC",2015,11,72.39
"BOWL CANYON SC",2015,12,48.514
"BOWL CANYON SC",2015,1,35.56
"BOWL CANYON SC",2015,2,53.34
"BOWL CANYON SC",2015,3,65.278
"BOWMAN PARK",2015,4,27.432
"BOWMAN PARK",2015,5,73.66
"BOWMAN PARK",2015,6,30.48
"BOWMAN PARK",2015,7,60.96
"BOWMAN PARK",2015,8,40.64
"BOWMAN PARK",2015,9,31.75
"BOWMAN PARK",2015,10,33.528
"BOWMAN PARK",2015,11,55.372
"BOWMAN PARK",2015,12,73.152
"BOWMAN PARK",2015,1,42.672
"BOWMAN PARK",2015,2,80.518
"BOWMAN PARK",2015,3,5.588
"BUFFALO PASS",2015,4,35.56
"BUFFALO PASS",2015,5,111.76
"BUFFALO PASS",2015,6,58.42
"BUFFALO PASS",2015,7,40.64
"BUFFALO PASS",2015,8,73.66
"BUFFALO PASS",2015,9,30.48
"BUFFALO PASS",2015,10,38.1
"BUFFALO PASS",2015,11,83.82
"BUFFALO PASS",2015,12,56.642
"BUFFALO PASS",2015,1,55.88
"BUFFALO PASS",2015,2,135.89
"BUFFALO PASS",2015,3,3.81
"BURNHAM",2015,4,12.954
"BURNHAM",2015,5,41.91
"BURNHAM",2015,6,19.05
"BURNHAM",2015,7,35.56
"BURNHAM",2015,8,40.64
"BURNHAM",2015,9,9.398
"BURNHAM",2015,10,26.67
"BURNHAM",2015,11,13.97
"BURNHAM",2015,12,16.51
"BURNHAM",2015,1,12.7
"BURNHAM",2015,2,48.26
"BURNHAM",2015,3,3.556
"CAMERON - CHAPTER HOUSE",2015,4,5.08
"CAMERON - CHAPTER HOUSE",2015,5,7.62
"CAMERON - CHAPTER HOUSE",2015,6,13.97
"CAMERON - CHAPTER HOUSE",2015,7,19.05
"CAMERON - CHAPTER HOUSE",2015,8,41.91
"CAMERON - CHAPTER HOUSE",2015,9,10.16
"CAMERON - CHAPTER HOUSE",2015,10,30.48
"CAMERON - CHAPTER HOUSE",2015,11,7.62
"CAMERON - CHAPTER HOUSE",2015,12,3.81
"CAMERON - CHAPTER HOUSE",2015,1,33.02
"CAMERON - CHAPTER HOUSE",2015,2,48.768
"CAMERON - CHAPTER HOUSE",2015,3,2.032
"CAPTAIN TOM WASH SG",2015,4,12.7
"CAPTAIN TOM WASH SG",2015,5,53.34
"CAPTAIN TOM WASH SG",2015,6,48.514
"CAPTAIN TOM WASH SG",2015,7,42.418
"CAPTAIN TOM WASH SG",2015,8,74.422
"CAPTAIN TOM WASH SG",2015,9,24.13
"CAPTAIN TOM WASH SG",2015,10,33.02
"CAPTAIN TOM WASH SG",2015,11,30.48
"CAPTAIN TOM WASH SG",2015,12,39.116
"CAPTAIN TOM WASH SG",2015,1,52.07
"CAPTAIN TOM WASH SG",2015,2,67.31
"CAPTAIN TOM WASH SG",2015,3,5.08
"COALMINE ROAD",2015,4,13.462
"COALMINE ROAD",2015,5,35.56
"COALMINE ROAD",2015,6,55.88
"COALMINE ROAD",2015,7,66.04
"COALMINE ROAD",2015,8,39.37
"COALMINE ROAD",2015,9,11.43
"COALMINE ROAD",2015,10,38.1
"COALMINE ROAD",2015,11,35.56
"COALMINE ROAD",2015,12,23.114
"COALMINE ROAD",2015,1,44.958
"COALMINE ROAD",2015,2,42.164
"COALMINE ROAD",2015,3,4.318
"COYOTE CANYON",2015,4,8.89
"COYOTE CANYON",2015,5,25.146
"COYOTE CANYON",2015,6,25.654
"COYOTE CANYON",2015,7,32.512
"COYOTE CANYON",2015,8,84.328
"COYOTE CANYON",2015,9,33.02
"COYOTE CANYON",2015,10,38.1
"COYOTE CANYON",2015,11,14.478
"COYOTE CANYON",2015,12,12.192
"COYOTE CANYON",2015,1,25.908
"COYOTE CANYON",2015,2,57.912
"COYOTE CANYON",2015,3,3.048
"CRYSTAL SG",2015,4,2.794
"CRYSTAL SG",2015,5,24.384
"CRYSTAL SG",2015,6,38.608
"CRYSTAL SG",2015,7,28.448
"CRYSTAL SG",2015,8,54.102
"CRYSTAL SG",2015,9,31.75
"CRYSTAL SG",2015,10,60.96
"CRYSTAL SG",2015,11,43.18
"CRYSTAL SG",2015,12,34.544
"CRYSTAL SG",2015,1,27.94
"CRYSTAL SG",2015,2,35.56
"CRYSTAL SG",2015,3,28.194
"CRYSTAL WX",2015,4,17.78
"CRYSTAL WX",2015,5,68.326
"CRYSTAL WX",2015,6,48.514
"CRYSTAL WX",2015,7,71.12
"CRYSTAL WX",2015,8,54.61
"CRYSTAL WX",2015,9,29.21
"CRYSTAL WX",2015,10,30.48
"CRYSTAL WX",2015,11,55.88
"CRYSTAL WX",2015,12,45.72
"CRYSTAL WX",2015,1,21.59
"CRYSTAL WX",2015,2,71.12
"CRYSTAL WX",2015,3,2.54
"DALTON PASS",2015,4,9.398
"DALTON PASS",2015,5,21.59
"DALTON PASS",2015,6,11.43
"DALTON PASS",2015,7,49.022
"DALTON PASS",2015,8,51.308
"DALTON PASS",2015,9,36.83
"DALTON PASS",2015,10,24.13
"DALTON PASS",2015,11,19.812
"DALTON PASS",2015,12,12.7
"DALTON PASS",2015,1,21.082
"DALTON PASS",2015,2,39.37
"DALTON PASS",2015,3,6.35
"DENNEHOTSO",2015,4,8.89
"DENNEHOTSO",2015,5,23.876
"DENNEHOTSO",2015,6,62.23
"DENNEHOTSO",2015,7,32.512
"DENNEHOTSO",2015,8,62.738
"DENNEHOTSO",2015,9,3.302
"DENNEHOTSO",2015,10,48.768
"DENNEHOTSO",2015,11,13.97
"DENNEHOTSO",2015,12,23.622
"DENNEHOTSO",2015,1,38.1
"DENNEHOTSO",2015,2,37.592
"DENNEHOTSO",2015,3,0
"DEZA BLUFF",2015,4,27.94
"DEZA BLUFF",2015,5,63.5
"DEZA BLUFF",2015,6,41.91
"DEZA BLUFF",2015,7,87.63
"DEZA BLUFF",2015,8,71.12
"DEZA BLUFF",2015,9,35.56
"DEZA BLUFF",2015,10,62.23
"DEZA BLUFF",2015,11,41.91
"DEZA BLUFF",2015,12,38.354
"DEZA BLUFF",2015,1,48.26
"DEZA BLUFF",2015,2,78.74
"DEZA BLUFF",2015,3,7.62
"DILKON O&M",2015,4,12.7
"DILKON O&M",2015,5,19.05
"DILKON O&M",2015,6,22.86
"DILKON O&M",2015,7,16.002
"DILKON O&M",2015,8,71.628
"DILKON O&M",2015,9,19.558
"DILKON O&M",2015,10,61.722
"DILKON O&M",2015,11,20.32
"DILKON O&M",2015,12,26.67
"DILKON O&M",2015,1,48.006
"DILKON O&M",2015,2,24.13
"DILKON O&M",2015,3,3.302
"FLUTED ROCK SC",2015,4,2.032
"FLUTED ROCK SC",2015,5,111.76
"FLUTED ROCK SC",2015,6,38.1
"FLUTED ROCK SC",2015,7,98.552
"FLUTED ROCK SC",2015,8,43.688
"FLUTED ROCK SC",2015,9,27.94
"FLUTED ROCK SC",2015,10,48.26
"FLUTED ROCK SC",2015,11,55.88
"FLUTED ROCK SC",2015,12,33.02
"FLUTED ROCK SC",2015,1,40.132
"FLUTED ROCK SC",2015,2,43.18
"FLUTED ROCK SC",2015,3,38.608
"FOREST LAKE WX",2015,4,8.89
"FOREST LAKE WX",2015,5,25.4
"FOREST LAKE WX",2015,6,68.58
"FOREST LAKE WX",2015,7,125.73
"FOREST LAKE WX",2015,8,29.21
"FOREST LAKE WX",2015,9,10.16
"FOREST LAKE WX",2015,10,62.23
"FOREST LAKE WX",2015,11,17.78
"FOREST LAKE WX",2015,12,25.908
"FOREST LAKE WX",2015,1,16.51
"FOREST LAKE WX",2015,2,66.04
"FOREST LAKE WX",2015,3,6.35
"FORT DEFIANCE - WMB",2015,4,14.986
"FORT DEFIANCE - WMB",2015,5,43.688
"FORT DEFIANCE - WMB",2015,6,34.544
"FORT DEFIANCE - WMB",2015,7,40.132
"FORT DEFIANCE - WMB",2015,8,51.308
"FORT DEFIANCE - WMB",2015,9,22.098
"FORT DEFIANCE - WMB",2015,10,23.876
"FORT DEFIANCE - WMB",2015,11,36.576
"FORT DEFIANCE - WMB",2015,12,17.78
"FORT DEFIANCE - WMB",2015,1,34.036
"FORT DEFIANCE - WMB",2015,2,42.418
"FORT DEFIANCE - WMB",2015,3,4.064
"FORT WINGATE",2015,4,21.59
"FORT WINGATE",2015,5,27.94
"FORT WINGATE",2015,6,14.478
"FORT WINGATE",2015,7,58.928
"FORT WINGATE",2015,8,24.892
"FORT WINGATE",2015,9,35.56
"FORT WINGATE",2015,10,42.418
"FORT WINGATE",2015,11,42.672
"FORT WINGATE",2015,12,19.05
"FORT WINGATE",2015,1,29.972
"FORT WINGATE",2015,2,50.038
"FORT WINGATE",2015,3,6.35
"GALLO",2015,4,13.208
"GALLO",2015,5,43.942
"GALLO",2015,6,56.642
"GALLO",2015,7,63.5
"GALLO",2015,8,35.56
"GALLO",2015,9,20.32
"GALLO",2015,10,28.702
"GALLO",2015,11,20.066
"GALLO",2015,12,14.478
"GALLO",2015,1,8.636
"GALLO",2015,2,12.7
"GALLO",2015,3,19.05
"GANADO 6 NW",2015,4,3.048
"GANADO 6 NW",2015,5,44.45
"GANADO 6 NW",2015,6,19.812
"GANADO 6 NW",2015,7,43.688
"GANADO 6 NW",2015,8,35.56
"GANADO 6 NW",2015,9,10.16
"GANADO 6 NW",2015,10,27.94
"GANADO 6 NW",2015,11,38.862
"GANADO 6 NW",2015,12,14.986
"GANADO 6 NW",2015,1,49.53
"GANADO 6 NW",2015,2,24.892
"GANADO 6 NW",2015,3,1.27
"GREY MOUNTAIN SUMMIT",2015,4,10.414
"GREY MOUNTAIN SUMMIT",2015,5,8.89
"GREY MOUNTAIN SUMMIT",2015,6,29.21
"GREY MOUNTAIN SUMMIT",2015,7,27.94
"GREY MOUNTAIN SUMMIT",2015,8,74.93
"GREY MOUNTAIN SUMMIT",2015,9,36.83
"GREY MOUNTAIN SUMMIT",2015,10,53.34
"GREY MOUNTAIN SUMMIT",2015,11,30.48
"GREY MOUNTAIN SUMMIT",2015,12,30.48
"GREY MOUNTAIN SUMMIT",2015,1,52.07
"GREY MOUNTAIN SUMMIT",2015,2,57.658
"GREY MOUNTAIN SUMMIT",2015,3,0.762
"HARDSCRABBLE",2015,4,12.7
"HARDSCRABBLE",2015,5,33.02
"HARDSCRABBLE",2015,6,11.43
"HARDSCRABBLE",2015,7,67.31
"HARDSCRABBLE",2015,8,30.48
"HARDSCRABBLE",2015,9,33.02
"HARDSCRABBLE",2015,10,23.368
"HARDSCRABBLE",2015,11,38.1
"HARDSCRABBLE",2015,12,40.64
"HARDSCRABBLE",2015,1,55.88
"HARDSCRABBLE",2015,2,22.86
"HARDSCRABBLE",2015,3,33.02
"HIDDEN VALLEY SC",2015,4,24.13
"HIDDEN VALLEY SC",2015,5,77.47
"HIDDEN VALLEY SC",2015,6,49.53
"HIDDEN VALLEY SC",2015,7,81.28
"HIDDEN VALLEY SC",2015,8,73.66
"HIDDEN VALLEY SC",2015,9,53.34
"HIDDEN VALLEY SC",2015,10,22.86
"HIDDEN VALLEY SC",2015,11,56.896
"HIDDEN VALLEY SC",2015,12,25.654
"HIDDEN VALLEY SC",2015,1,40.64
"HIDDEN VALLEY SC",2015,2,63.5
"HIDDEN VALLEY SC",2015,3,58.42
"HOUCK WX",2015,4,23.114
"HOUCK WX",2015,5,30.48
"HOUCK WX",2015,6,26.67
"HOUCK WX",2015,7,27.94
"HOUCK WX",2015,8,17.78
"HOUCK WX",2015,9,24.13
"HOUCK WX",2015,10,29.21
"HOUCK WX",2015,11,48.26
"HOUCK WX",2015,12,46.99
"HOUCK WX",2015,1,28.702
"HOUCK WX",2015,2,47.498
"HOUCK WX",2015,3,2.286
"HUBBLE'S TP",2015,4,5.08
"HUBBLE'S TP",2015,5,63.246
"HUBBLE'S TP",2015,6,40.894
"HUBBLE'S TP",2015,7,40.64
"HUBBLE'S TP",2015,8,59.69
"HUBBLE'S TP",2015,9,18.288
"HUBBLE'S TP",2015,10,30.48
"HUBBLE'S TP",2015,11,35.56
"HUBBLE'S TP",2015,12,33.02
"HUBBLE'S TP",2015,1,43.18
"HUBBLE'S TP",2015,2,33.528
"HUBBLE'S TP",2015,3,4.572
"INSCRIPTION HOUSE",2015,4,0
"INSCRIPTION HOUSE",2015,5,73.152
"INSCRIPTION HOUSE",2015,6,48.768
"INSCRIPTION HOUSE",2015,7,35.052
"INSCRIPTION HOUSE",2015,8,84.328
"INSCRIPTION HOUSE",2015,9,10.16
"INSCRIPTION HOUSE",2015,10,43.18
"INSCRIPTION HOUSE",2015,11,17.78
"INSCRIPTION HOUSE",2015,12,33.02
"INSCRIPTION HOUSE",2015,1,31.242
"INSCRIPTION HOUSE",2015,2,40.386
"INSCRIPTION HOUSE",2015,3,6.35
"KAYENTA PD",2015,4,1.778
"KAYENTA PD",2015,5,29.21
"KAYENTA PD",2015,6,57.658
"KAYENTA PD",2015,7,26.162
"KAYENTA PD",2015,8,100.838
"KAYENTA PD",2015,9,8.382
"KAYENTA PD",2015,10,48.26
"KAYENTA PD",2015,11,20.32
"KAYENTA PD",2015,12,11.43
"KAYENTA PD",2015,1,35.052
"KAYENTA PD",2015,2,55.118
"KAYENTA PD",2015,3,1.524
"KLAGETOH 9 NE",2015,4,21.59
"KLAGETOH 9 NE",2015,5,44.196
"KLAGETOH 9 NE",2015,6,32.766
"KLAGETOH 9 NE",2015,7,28.448
"KLAGETOH 9 NE",2015,8,60.96
"KLAGETOH 9 NE",2015,9,25.4
"KLAGETOH 9 NE",2015,10,43.18
"KLAGETOH 9 NE",2015,11,32.258
"KLAGETOH 9 NE",2015,12,28.702
"KLAGETOH 9 NE",2015,1,40.894
"KLAGETOH 9 NE",2015,2,25.908
"KLAGETOH 9 NE",2015,3,5.08
"LITTLE WHITE CONE",2015,4,0
"LITTLE WHITE CONE",2015,5,81.28
"LITTLE WHITE CONE",2015,6,53.34
"LITTLE WHITE CONE",2015,7,61.468
"LITTLE WHITE CONE",2015,8,90.932
"LITTLE WHITE CONE",2015,9,38.1
"LITTLE WHITE CONE",2015,10,40.64
"LITTLE WHITE CONE",2015,11,50.8
"LITTLE WHITE CONE",2015,12,34.29
"LITTLE WHITE CONE",2015,1,22.86
"LITTLE WHITE CONE",2015,2,81.28
"LITTLE WHITE CONE",2015,3,7.62
"LOWER GREASEWOOD",2015,4,14.224
"LOWER GREASEWOOD",2015,5,27.94
"LOWER GREASEWOOD",2015,6,25.4
"LOWER GREASEWOOD",2015,7,35.814
"LOWER GREASEWOOD",2015,8,61.468
"LOWER GREASEWOOD",2015,9,5.08
"LOWER GREASEWOOD",2015,10,50.8
"LOWER GREASEWOOD",2015,11,21.59
"LOWER GREASEWOOD",2015,12,33.02
"LOWER GREASEWOOD",2015,1,45.72
"LOWER GREASEWOOD",2015,2,20.32
"LOWER GREASEWOOD",2015,3,1.016
"MANUELITO-CHAPTER HOUSE",2015,4,15.494
"MANUELITO-CHAPTER HOUSE",2015,5,39.878
"MANUELITO-CHAPTER HOUSE",2015,6,21.082
"MANUELITO-CHAPTER HOUSE",2015,7,66.04
"MANUELITO-CHAPTER HOUSE",2015,8,50.8
"MANUELITO-CHAPTER HOUSE",2015,9,33.02
"MANUELITO-CHAPTER HOUSE",2015,10,17.78
"MANUELITO-CHAPTER HOUSE",2015,11,35.56
"MANUELITO-CHAPTER HOUSE",2015,12,25.4
"MANUELITO-CHAPTER HOUSE",2015,1,35.052
"MANUELITO-CHAPTER HOUSE",2015,2,33.02
"MANUELITO-CHAPTER HOUSE",2015,3,37.846
"MARSH PASS",2015,4,7.62
"MARSH PASS",2015,5,72.136
"MARSH PASS",2015,6,46.482
"MARSH PASS",2015,7,20.32
"MARSH PASS",2015,8,71.12
"MARSH PASS",2015,9,29.21
"MARSH PASS",2015,10,45.974
"MARSH PASS",2015,11,27.686
"MARSH PASS",2015,12,25.4
"MARSH PASS",2015,1,45.212
"MARSH PASS",2015,2,68.58
"MARSH PASS",2015,3,2.54
"MEXICAN SPRINGS",2015,4,10.16
"MEXICAN SPRINGS",2015,5,33.274
"MEXICAN SPRINGS",2015,6,22.352
"MEXICAN SPRINGS",2015,7,49.53
"MEXICAN SPRINGS",2015,8,76.2
"MEXICAN SPRINGS",2015,9,30.48
"MEXICAN SPRINGS",2015,10,34.29
"MEXICAN SPRINGS",2015,11,21.082
"MEXICAN SPRINGS",2015,12,20.32
"MEXICAN SPRINGS",2015,1,21.082
"MEXICAN SPRINGS",2015,2,53.34
"MEXICAN SPRINGS",2015,3,2.54
"MILK MESA",2015,4,20.32
"MILK MESA",2015,5,30.226
"MILK MESA",2015,6,11.43
"MILK MESA",2015,7,38.862
"MILK MESA",2015,8,46.482
"MILK MESA",2015,9,18.288
"MILK MESA",2015,10,35.56
"MILK MESA",2015,11,16.51
"MILK MESA",2015,12,5.842
"MILK MESA",2015,1,17.78
"MILK MESA",2015,2,16.002
"MILK MESA",2015,3,15.748
"MISSIONARY SPRINGS SC",2015,4,22.098
"MISSIONARY SPRINGS SC",2015,5,74.93
"MISSIONARY SPRINGS SC",2015,6,52.07
"MISSIONARY SPRINGS SC",2015,7,81.28
"MISSIONARY SPRINGS SC",2015,8,139.7
"MISSIONARY SPRINGS SC",2015,9,35.56
"MISSIONARY SPRINGS SC",2015,10,49.53
"MISSIONARY SPRINGS SC",2015,11,46.99
"MISSIONARY SPRINGS SC",2015,12,60.96
"MISSIONARY SPRINGS SC",2015,1,32.512
"MISSIONARY SPRINGS SC",2015,2,53.34
"MISSIONARY SPRINGS SC",2015,3,54.102
"MOUNT POWELL",2015,4,17.272
"MOUNT POWELL",2015,5,39.37
"MOUNT POWELL",2015,6,21.59
"MOUNT POWELL",2015,7,80.518
"MOUNT POWELL",2015,8,39.624
"MOUNT POWELL",2015,9,23.368
"MOUNT POWELL",2015,10,33.02
"MOUNT POWELL",2015,11,45.212
"MOUNT POWELL",2015,12,22.098
"MOUNT POWELL",2015,1,42.418
"MOUNT POWELL",2015,2,46.99
"MOUNT POWELL",2015,3,11.938
"NAGEEZI",2015,4,20.828
"NAGEEZI",2015,5,68.58
"NAGEEZI",2015,6,17.78
"NAGEEZI",2015,7,35.052
"NAGEEZI",2015,8,50.038
"NAGEEZI",2015,9,46.99
"NAGEEZI",2015,10,37.592
"NAGEEZI",2015,11,48.768
"NAGEEZI",2015,12,6.35
"NAGEEZI",2015,1,8.89
"NAGEEZI",2015,2,17.78
"NAGEEZI",2015,3,23.622
"NAPI WX",2015,4,14.986
"NAPI WX",2015,5,27.432
"NAPI WX",2015,6,37.846
"NAPI WX",2015,7,12.7
"NAPI WX",2015,8,25.4
"NAPI WX",2015,9,12.7
"NAPI WX",2015,10,19.812
"NAPI WX",2015,11,19.812
"NAPI WX",2015,12,23.876
"NAPI WX",2015,1,35.56
"NAPI WX",2015,2,30.48
"NAPI WX",2015,3,0.762
"NAVAJO MTN SCHOOL",2015,4,0
"NAVAJO MTN SCHOOL",2015,5,22.86
"NAVAJO MTN SCHOOL",2015,6,22.86
"NAVAJO MTN SCHOOL",2015,7,25.908
"NAVAJO MTN SCHOOL",2015,8,37.592
"NAVAJO MTN SCHOOL",2015,9,10.16
"NAVAJO MTN SCHOOL",2015,10,53.34
"NAVAJO MTN SCHOOL",2015,11,34.29
"NAVAJO MTN SCHOOL",2015,12,26.162
"NAVAJO MTN SCHOOL",2015,1,44.45
"NAVAJO MTN SCHOOL",2015,2,76.962
"NAVAJO MTN SCHOOL",2015,3,4.318
"NORTH LEUPP FARM WX",2015,4,4.318
"NORTH LEUPP FARM WX",2015,5,9.398
"NORTH LEUPP FARM WX",2015,6,49.022
"NORTH LEUPP FARM WX",2015,7,34.798
"NORTH LEUPP FARM WX",2015,8,61.468
"NORTH LEUPP FARM WX",2015,9,14.732
"NORTH LEUPP FARM WX",2015,10,53.594
"NORTH LEUPP FARM WX",2015,11,2.286
"NORTH LEUPP FARM WX",2015,12,13.97
"NORTH LEUPP FARM WX",2015,1,33.02
"NORTH LEUPP FARM WX",2015,2,22.098
"NORTH LEUPP FARM WX",2015,3,0.762
"OAK RIDGE",2015,4,19.05
"OAK RIDGE",2015,5,44.958
"OAK RIDGE",2015,6,40.64
"OAK RIDGE",2015,7,53.34
"OAK RIDGE",2015,8,30.48
"OAK RIDGE",2015,9,30.48
"OAK RIDGE",2015,10,33.02
"OAK RIDGE",2015,11,43.18
"OAK RIDGE",2015,12,32.512
"OAK RIDGE",2015,1,57.15
"OAK RIDGE",2015,2,16.51
"OAK RIDGE",2015,3,33.02
"OJO ENCINO",2015,4,25.4
"OJO ENCINO",2015,5,43.18
"OJO ENCINO",2015,6,51.562
"OJO ENCINO",2015,7,59.436
"OJO ENCINO",2015,8,71.882
"OJO ENCINO",2015,9,19.812
"OJO ENCINO",2015,10,25.4
"OJO ENCINO",2015,11,23.114
"OJO ENCINO",2015,12,30.226
"OJO ENCINO",2015,1,24.13
"OJO ENCINO",2015,2,17.018
"OJO ENCINO",2015,3,31.242
"OLJATO - OLD TP",2015,4,2.286
"OLJATO - OLD TP",2015,5,36.83
"OLJATO - OLD TP",2015,6,26.162
"OLJATO - OLD TP",2015,7,28.194
"OLJATO - OLD TP",2015,8,57.15
"OLJATO - OLD TP",2015,9,2.54
"OLJATO - OLD TP",2015,10,36.83
"OLJATO - OLD TP",2015,11,8.382
"OLJATO - OLD TP",2015,12,27.178
"OLJATO - OLD TP",2015,1,45.72
"OLJATO - OLD TP",2015,2,54.61
